Borough,Market Name,Address,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Open Year-Round
Staten Island,Goodhue Center Go!Healthy Farm Stand,301 Prospect Ave Staten Island,40.638983,-74.097422,Tuesday,11am-2pm,07/06/2020-11/20/2020,No
Manhattan,57th Street Greenmarket,W 57th St & 10th Ave Manhattan,40.769117,-73.988559,Wednesday Saturday,8am-5pm,6/6 to 11/25,No
Queens,Queens County Farm Museum Farm Stand,73-50 Little Neck Pkwy Queens,40.748163,-73.719431,Wednesday  Thursday  Friday Saturday and Sunday,11am-3pm (weekends); 11am-5pm,7/8/2020– 11/1/2020),No
Manhattan,PS 57 Farmstand,E 115th St & 3rd Ave Manhattan,40.797261,-73.940519,Wednesday,9am-4pm,07/01/20-11/18/20 estimate,No
Bronx,Bronx Borough Hall Greenmarket,Grand Concourse bet E 161st & 162nd Sts Bronx,40.826835,-73.922621,Tuesday,8am-4pm,6/2 to 11/24,No
Brooklyn,Bensonhurst Greenmarket,81st St & 18th Ave Brooklyn,40.609951,-73.999456,Sunday,9am - 4pm,5/31 to 11/29,No
Brooklyn,Brooklyn Borough Hall Greenmarket,Court & Montague Sts Brooklyn,40.693722,-73.990455,Tuesday  Thursday Saturday,8am - 5pm,Year-Round (Thursday temporarily closed for COVID),Yes
Brooklyn,Graham Avenue Farmers' Market,Cook St & Graham Ave Brooklyn,40.702345,-73.942381,Saturday,9am-5pm,8/8/2020-10/31/2020,No
Brooklyn,Saratoga Farm Stand,1965-1971 Fulton St Brooklyn,40.678562,-7.97E-05,Saturday,9am-2pm,07/11/2020-11/21/2020,No
Bronx,Morning Glory Market at the New York Botanical Gardens,2900 Southern Blvd. Bronx,40.865684,-73.883312,Wednesday,10am-3pm,July 2020-10/28/2020,No
Bronx,Poe Park Greenmarket,E 192 St & Grand Concourse Bronx,40.864216,-73.895795,Tuesday,8am - 3pm,6/30 to 11/24,No
Brooklyn,Fort Greene Park Greenmarket,Washington Park bet Dekalb Ave & Willoughby St Brooklyn,40.691707,-73.973539,Saturday,8am - 3pm,Year-Round,Yes
Brooklyn,Project EATS Rockaway Farm Stand & CSA pickup,Rockaway Ave. & Livonia Ave. Brooklyn,40.662555,-73.90892,Friday,8 a.m. - 5 p.m.,09/01/2020-11/20/2020,No
Queens,Edgemere Farm Market,323 Beach 74th Street Queens,40.59129,-73.802314,Saturday & Sunday,9am-2pm,Year-Round,Yes
Bronx,"Whitney Young, Jr. Campus Go!Healthy Food Box",1919 Prospect Ave. Bronx,40.843546,-73.889755,Thursday,12 - 2p.m.,07/06/2020-11/20/2020,No
Brooklyn,Woodhull Hospital Farmstand,Broadway & Flushing Ave Brooklyn,40.700726,-73.941932,Wednesday,9am-2pm,2020-07-01T00:00:00.000,No
Bronx,Harvest Home St. Mary's Park Farm Stand,E 149th St & Eagle Ave Bronx,40.813884,-73.911812,Thursday,8am-4pm,7/9/2020-11/19/2020,No
Brooklyn,Isabahlia Farmers' Market,410 Livonia Ave Brooklyn,40.663532,-73.902236,Saturday,8am-3pm,06/30/2020-10/31/2020,No
Brooklyn,Harvest Home Kings County Hospital Farmers' Market,Clarkson Ave bet E 37th & 38th Sts Brooklyn,40.655828,-73.943355,Wednesday,8am-6pm,6/17/2020-11/25/2020,No
Manhattan,Essex Crossing Farm Stand & CSA pickup,115 Essex St. Manhattan,40.719322,-73.987817,Saturday,10:30 a.m. - 6 p.m.,09/01/2020-11/20/2020,No
Manhattan,Union Square Greenmarket,E 17th St & Union Square W Manhattan,40.737133,-73.990329,Monday  Wednesday Friday Saturday,8am - 6pm,Year-Round,Yes
Manhattan,Bowling Green Greenmarket,Broadway & Battery Pl Manhattan,40.704549,-74.01429,Tuesday Thursday,8am - 5pm,Year-Round (Temporarily Closed due to COVID),Yes
Manhattan,92nd Street Greenmarket,E 92nd St & 1st Ave Manhattan,40.780691,-73.946592,Sunday,9am-4pm,6/21 to 11/22,No
Bronx,Harvest Home Co-op City Farm Stand,Asch Loop & Aldrich St Bronx,40.870249,-73.830963,Wednesday,8am-4pm,6/17/2020-11/25/2020,No
Brooklyn,Cypress Hills Farmstand,Fulton & Richmond Sts Brooklyn,40.682391,-73.876616,Friday,10am-5pm,7/10/20-11/20/20 estimate,No
Manhattan,Inwood Park Greenmarket,Isham St bet Seaman Ave & Cooper St Manhattan,40.869001,-73.920896,Saturday,8am - 3pm,Year-Round,Yes
Manhattan,PS 5 Go!Healthy Farm Stand,3703 10th Ave Manhattan,40.85899,-73.922894,Wednesday,10am - 2pm,07/06/2020-11/20/2020,No
Manhattan,Grass Roots Farmers' Market,"W 145th St bet Edgecombe & Bradhurst Aves, at Jackie Robinson Park Manhattan",40.823647,-73.943844,Tuesday Saturday,9am-4pm,07/02/2020-11/28/2020,No
Brooklyn,Seeds in the Middle Fresh Food Box / Farmstand - Flatbush,240 Nostrand Avenue Brooklyn,40.691804,-73.951863,Thursday,1pm-7pm,5/28/20-9/30/20,No
Manhattan,Staten Island Ferry Whitehall Terminal Greenmarket,"4 South St, inside terminal Manhattan",40.7016879,-74.01163113,Tuesday Friday,8am - 7pm,Year-Round (Temporarily Closed due to COVID),Yes
Queens,Ridgewood Farmstand,Cypress Ave bet Myrtle & Putnam Aves Queens,40.700123,-73.90621,Saturday,8:30am-3pm,7/11/20-11/21/20 estimate,No
Staten Island,St. George Greenmarket,Hyatt St & St Marks Pl Staten Island,40.641586,-74.0779,Saturday,"8am - 2pm
-1pm (winter)",Year-Round,Yes
Bronx,Bronx Family Center Go!Healthy Farm Stand,1515 Southern Blvd Bronx,40.833734,-73.889934,Thursday,11am-2pm,Year-Round,Yes
Manhattan,Astor Place Greenmarket,Astor Pl bet Broadway & Lafayette Manhattan,40.730079,-73.992842,Tuesday,8 a.m. - 4 p.m.,8/4 - 11/24,No
Brooklyn,Brownsville/ENY - Health & Hospitals East New York,2094 Pitkin Ave. Brooklyn,40.671977,-73.895248,Wednesday,10 a.m. - 3 p.m.,09/01/2020-11/20/2020,No
Manhattan,Tucker Square Greenmarket,W 66th St & Broadway Manhattan,40.773876,-73.982226,Thursday Saturday,8am - 5pm,Year-Round (Closed 07/04/19 & 11/28/19 - open 11/27/19),Yes
Queens,Forest Park Farmstand,Myrtle Ave & Park Lane South Queens,40.700955,-73.841426,Saturday,9:30am-3pm,7/11/20-11/21/20 estimate,No
Brooklyn,Harvest Home Coney Island Hospital Farmers' Market,Ocean Pkwy bet Avenue Z & Shore Pkwy Brooklyn,40.58667,-73.96615,Friday,8am-4pm,6/17/2020-11/25/2020,No
Brooklyn,RB Pop Up Farm Stand,215 Cooper St Brooklyn,40.689879,-73.905298,Thursday,12pm-5pm,TBD,No
Bronx,Mott Haven Farmers Market,545 E 142nd St Bronx,40.809973,-73.916434,Monday,9am-3pm,07/06/2020-11/09/2020,No
Manhattan,Harvest Home Harlem Hospital Farmers' Market,Lenox Ave bet 135th & 137th Sts Manhattan,40.814358,-73.940659,Friday,8am-6pm,7/10/2020-11/20/2020,No
Brooklyn,Hattie Carthan After Church Farmers' Market,49 Van Buren St Brooklyn,40.690036,-73.943557,Sunday,1pm-6pm,07/11/2020-11/21/2020,No
Brooklyn,Seeds in the Middle Fresh Food Box / Farmstand - Ocean Hill- Brownsville Farmstand,2163 Dean Street Brooklyn,40.675024,-73.915778,Wednesday,12:30-3:30pm,Year-round,Yes
Bronx,Lincoln Hospital Greenmarket,E 149th St bet Park & Morris Aves Bronx,40.818013,-73.925185,Tuesday Friday,8am - 3pm,6/26/20-11/20/20,No
Queens,Queens Botanical Garden's Down to Earth Farmers' Market,82 Dahlia Ave Queens,40.75186,-73.826362,Friday,8:30am - 4pm,6/12/2020-11/27/2020,No
Brooklyn,Bay Ridge Greenmarket,95th St & 3rd Ave Brooklyn,40.617278,-74.033588,Saturday,8am - 3pm,5/2 to 11/21,No
Bronx,Harvest Home North Central Bronx Farmers' Market,Mosholu Pkwy & Jerome Ave Bronx,40.879749,-73.884661,Wednesday,8am-4pm,6/17/2020-11/25/2020,No
Brooklyn,Wyckoff House Museum Farm Stand,5816 Clarendon Rd Brooklyn,40.64497,-73.920914,Saturday,11am-4pm,6/20/2020-10/30/2020,No
Brooklyn,Flatbush Junction Farmstand,Nostrand & Flatbush Aves Brooklyn,40.632886,-73.947698,Saturday,9am-2pm,07/11/20-11/21/20 estimate,No
Manhattan,Lower East Side Farmstand,Grand Ave bet Pitt & Willet Sts Manhattan,40.714932,-73.983338,Thursday,8am-3pm,,No
Manhattan,Fort Washington Greenmarket,W 168th St & Ft Washington Ave Manhattan,40.842154,-73.942278,Tuesday,8am - 4pm,6/2 to 11/24,No
Manhattan,PS 11 Farm Market,W 21st St bet 8th & 9th Aves Manhattan,40.744006,-73.999415,Wednesday,8am-10am,06/03/2020-11/11/2020,No
Brooklyn,Domino Park Greenmarket,15 River St Brooklyn,40.715385,-73.967441,Sunday,8am - 3pm,7/12/2020- 11/29/2020,No
Bronx,Van Cortlandt Park Alliance Amalgamated Housing Youth Farmstand,Orloff Ave & Gale Pl Bronx,40.884532,-73.892172,Wednesday,1-6:30pm,07/08/2020-10/28/2020,No
Brooklyn,Kensington Farmstand,McDonald Ave & Albemarle Rd Brooklyn,40.64511,-73.979882,Saturday,8:30am-3pm,07/11/20-11/21/20 estimate,No
Queens,Brooklyn Grange Farm Stand at Long Island City,37-18 Northern Blvd (Roof) Queens,40.752096,-73.925887,Saturday,10am-4pm,6/13/2020-10/24/2020,No
Bronx,Riverdale Y Sunday Farmers Market,4545 Independence Ave. (Riverdale Temple Parking Lot) Bronx,40.891762,-73.912208,Sunday,9am-2pm,6/14/2020-11/22/2020,No
Bronx,Harvest Home Hunts Point Farm Stand,E 163rd St & Hunts Point Ave Bronx,40.820986,-73.891613,Wednesday,8am-4pm,6/17/2020-11/25/2020,No
Manhattan,82nd Street Greenmarket,E 82nd St bet 1st & York Aves Manhattan,40.774292,-73.951262,Saturday,9am - 2:30pm,Year-Round,Yes
Queens,Elmhurst Hospital Greenmarket,41st Ave bet 80th & 81st Sts Queens,40.745794,-73.885489,Tuesday,8am - 4pm,6/2 to 11/24,No
Brooklyn,Park Slope's Down to Earth Farmers' Market,4th St & 5th Ave Brooklyn,40.672194,-73.983785,Sunday,10am-4pm (winter closes at 3pm),Year-Round,Yes
Manhattan,Chelsea's Down to Earth Farmers Market,W 23rd St bet 8th & 9th Aves Manhattan,40.745293,-73.998488,Saturday,9am-4pm,06/06/2020-12/20/2020,No
Brooklyn,Brownsville Pitkin Farmstand,Pitkin Ave & Thomas Boyland St Brooklyn,40.669264,-73.913554,Saturday,9am-2pm,07/11/20-11/21/20 (estimate),No
Brooklyn,Bartel-Pritchard Square Greenmarket,Prospect Park W & 15th St Brooklyn,40.661154,-73.980172,Wednesday  Sunday,W: 8am - 3pm; S: 9am-3pm,"Wednesday: Year-Round (Closed 12/25/19 & 1/1/20); 
Sunday: 05/05/19-12/22/19",Yes
Brooklyn,Hattie Carthan Community Farmers' Market,Marcy Ave & Clifton Pl Brooklyn,40.689511,-73.948039,Saturday,9am-3pm,08/02/2020-11/22/2020,No
Bronx,New Roots Community Farm Stand,670 Grand Concourse (153rd & Grand Concourse) Bronx,40.821403,-73.925528,Tuesday,3pm-7pm,07/07/2020-10/27/2020,No
Manhattan,Savoy Park Down to Earth Farmers' Market,Lenox Ave bet W 141st & W 142nd Sts Manhattan,40.8179,-73.93809,Saturday,9am- 4pm,6/13/2020-11/28/2020,No
Bronx,BronxWorks Farm Stand,1130 Grand Concourse Bronx,40.832331,-73.91959,Thursday,10am-4pm,07/09/2020-11/12/2020,No
Queens,Joseph Addabbo FHC Farm Stand,6200 Beach Channel Dr Queens,40.593313,-73.79166,Saturday,8am-2pm,08/01/2020-11/21/2020,No
Staten Island,Staten Island Mall Greenmarket,Marsh Ave & Ring Rd Staten Island,40.583804,-74.161245,Saturday,"9am - 2pm
-1pm (winter)",Year-Round,Yes
Manhattan,Abingdon Square Greenmarket,Hudson St & W 12th St Manhattan,40.737553,-74.005687,Saturday,8am - 2pm,Year-Round,Yes
Manhattan,Harvest Home East Harlem Farmers' Market,104th St & 3rd Ave Manhattan,40.790253,-73.945635,Thursday,8am-4pm,7/9/2020-11/19/2020,No
Queens,Rockaway Youth Task Force Youth Market,310 Beach 58th St Queens,40.594492,-73.788077,Saturday,9am - 3pm,07/11/2020-11/21/2020,No
Brooklyn,Harvest Home Brower Park Farm Stand,Brooklyn Ave & Prospect Pl Brooklyn,40.674007,-73.944544,Thursday,8am-3pm,6/18/2020-11/19/2020,No
Bronx,Morrisania Farmstand,"E 169th St & Boston Rd, at McKinley Square Bronx",40.831117,-73.90071,Wednesday,10am-3pm,07/01/20-11/18/20 possibly,No
Brooklyn,South Williamsburg Greenmarket,Taylor St & Lee Ave Brooklyn,40.706998,-73.961364,Thursday,8am - 4pm,7/2 to 11/19,No
Brooklyn,RB HopeBall Field Farmers Market,249 Grove St Brooklyn,40.697175,-73.916878,Wednesday,9am-3pm,9/16/2020 - November unclear date,No
Manhattan,Gouverneur Health Farmstand,Madison St bet Clinton & Jefferson Sts Manhattan,40.712905,-73.986928,Thursday,9am-2pm,07/2/20-11/19/20 estimate,No
Manhattan,Tribeca Greenmarket,Greenwich & Chambers Sts Manhattan,40.716303,-74.010966,Wednesday Saturday,8am-3pm,Year-Round (Wednesday temporarily Closed due to COVID),Yes
Queens,Forest Hills Greenmarket,70th Ave & Queens Blvd Queens,40.72188,-73.846383,Sunday,8am - 2pm,Year-Round,Yes
Manhattan,City Hall Greenmarket,Broadway & Chambers St Manhattan,40.714165,-74.006309,Tuesday Friday,8am - 4pm,Year-Round (Temporarily Closed due to COVID)),Yes
Manhattan,Milbank Center Go!Healthy Farm Stand,14-32 W 118th St Manhattan,40.802317,-73.946351,Wednesday,3-5pm,Year-Round,Yes
